Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","103","Iraq","5922","Export Value","515","Apples","2017","2017","1000 US$","90607","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","108","Kazakhstan","5910","Export Quantity","515","Apples","2017","2017","tonnes","7415","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","108","Kazakhstan","5922","Export Value","515","Apples","2017","2017","1000 US$","3152","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","118","Kuwait","5910","Export Quantity","515","Apples","2017","2017","tonnes","1950","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","118","Kuwait","5922","Export Value","515","Apples","2017","2017","1000 US$","813","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","113","Kyrgyzstan","5910","Export Quantity","515","Apples","2017","2017","tonnes","107","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","113","Kyrgyzstan","5922","Export Value","515","Apples","2017","2017","1000 US$","37","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","131","Malaysia","5910","Export Quantity","515","Apples","2017","2017","tonnes","21","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","131","Malaysia","5922","Export Value","515","Apples","2017","2017","1000 US$","9","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","141","Mongolia","5910","Export Quantity","515","Apples","2017","2017","tonnes","17","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","141","Mongolia","5922","Export Value","515","Apples","2017","2017","1000 US$","5","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","221","Oman","5910","Export Quantity","515","Apples","2017","2017","tonnes","1360","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","221","Oman","5922","Export Value","515","Apples","2017","2017","1000 US$","380","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","165","Pakistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","54934","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","165","Pakistan","5922","Export Value","515","Apples","2017","2017","1000 US$","26060","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","179","Qatar","5910","Export Quantity","515","Apples","2017","2017","tonnes","1706","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","179","Qatar","5922","Export Value","515","Apples","2017","2017","1000 US$","834","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","223","Turkey","5910","Export Quantity","515","Apples","2017","2017","tonnes","14","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","223","Turkey","5922","Export Value","515","Apples","2017","2017","1000 US$","6","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","213","Turkmenistan","5910","Export Quantity","515","Apples","2017","2017","tonnes","42313","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","213","Turkmenistan","5922","Export Value","515","Apples","2017","2017","1000 US$","20348","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","225","United Arab Emirates","5910","Export Quantity","515","Apples","2017","2017","tonnes","41424","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","225","United Arab Emirates","5922","Export Value","515","Apples","2017","2017","1000 US$","16545","","Official data"
"TM","Detailed trade matrix","110","Japan","96","China, Hong Kong SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","6652","","Official data"
"TM","Detailed trade matrix","110","Japan","96","China, Hong Kong SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","21919","","Official data"
"TM","Detailed trade matrix","110","Japan","41","China, mainland","5910","Export Quantity","515","Apples","2017","2017","tonnes","336","","Official data"
"TM","Detailed trade matrix","110","Japan","41","China, mainland","5922","Export Value","515","Apples","2017","2017","1000 US$","1183","","Official data"
"TM","Detailed trade matrix","110","Japan","214","China, Taiwan Province of","5910","Export Quantity","515","Apples","2017","2017","tonnes","20675","","Official data"
"TM","Detailed trade matrix","110","Japan","214","China, Taiwan Province of","5922","Export Value","515","Apples","2017","2017","1000 US$","69727","","Official data"
"TM","Detailed trade matrix","110","Japan","101","Indonesia","5910","Export Quantity","515","Apples","2017","2017","tonnes","75","","Official data"
"TM","Detailed trade matrix","110","Japan","101","Indonesia","5922","Export Value","515","Apples","2017","2017","1000 US$","426","","Official data"
"TM","Detailed trade matrix","110","Japan","131","Malaysia","5910","Export Quantity","515","Apples","2017","2017","tonnes","57","","Official data"
"TM","Detailed trade matrix","110","Japan","131","Malaysia","5922","Export Value","515","Apples","2017","2017","1000 US$","183","","Official data"
"TM","Detailed trade matrix","110","Japan","221","Oman","5910","Export Quantity","515","Apples","2017","2017","tonnes","1","","Official data"
"TM","Detailed trade matrix","110","Japan","221","Oman","5922","Export Value","515","Apples","2017","2017","1000 US$","48","","Official data"
"TM","Detailed trade matrix","110","Japan","171","Philippines","5910","Export Quantity","515","Apples","2017","2017","tonnes","51","","Official data"
"TM","Detailed trade matrix","110","Japan","171","Philippines","5922","Export Value","515","Apples","2017","2017","1000 US$","232","","Official data"
"TM","Detailed trade matrix","110","Japan","200","Singapore","5910","Export Quantity","515","Apples","2017","2017","tonnes","158","","Official data"
"TM","Detailed trade matrix","110","Japan","200","Singapore","5922","Export Value","515","Apples","2017","2017","1000 US$","571","","Official data"
"TM","Detailed trade matrix","110","Japan","216","Thailand","5910","Export Quantity","515","Apples","2017","2017","tonnes","493","","Official data"
"TM","Detailed trade matrix","110","Japan","216","Thailand","5922","Export Value","515","Apples","2017","2017","1000 US$","1984","","Official data"
"TM","Detailed trade matrix","110","Japan","237","Viet Nam","5910","Export Quantity","515","Apples","2017","2017","tonnes","207","","Official data"
"TM","Detailed trade matrix","110","Japan","237","Viet Nam","5922","Export Value","515","Apples","2017","2017","1000 US$","1262","","Official data"
"TM","Detailed trade matrix","112","Jordan","13","Bahrain","5910","Export Quantity","515","Apples","2017","2017","tonnes","37","","Official data"
